"subject" "y" "tBodyAccMag-mean()" "tBodyAcc-energy()-X" "tBodyAcc-entropy()-X" "fBodyGyro-mean()-Z" "fBodyGyro-energy()-Z"
"1" 1 5 -0.95943388 -0.99994465 -0.40774707 -0.98951478 -0.99993462
"2" 1 5 -0.97928915 -0.9999913 -0.71489166 -0.98960578 -0.99989205
"3" 1 5 -0.98370313 -0.99996908 -0.59223514 -0.9867557 -0.99984625
"4" 1 5 -0.98654176 -0.99997554 -0.62744626 -0.98719126 -0.99986679
"5" 1 5 -0.99282715 -0.99999061 -0.78655253 -0.98866644 -0.99986421
"6" 1 5 -0.99429499 -0.99998547 -0.75186908 -0.9807784 -0.99978112
"7" 1 5 -0.9874657 -0.99998182 -0.63718496 -0.97845604 -0.99968971
"8" 1 5 -0.97745766 -0.99997978 -0.63323942 -0.98036083 -0.99967348
"9" 1 5 -0.98363087 -0.99998544 -0.68311724 -0.98402803 -0.99986142
"10" 1 5 -0.98677197 -0.99996282 -0.55072132 -0.97745298 -0.999731
"11" 1 5 -0.98804033 -0.99996466 -0.62899733 -0.97727189 -0.99973239
"12" 1 5 -0.99477563 -0.99999109 -0.83802192 -0.99512791 -0.99997221
"13" 1 5 -0.99532501 -0.9999963 -0.84967219 -0.99645488 -0.99997286
"14" 1 5 -0.99670013 -0.9999967 -0.88821474 -0.99577517 -0.99997547
"15" 1 5 -0.90458778 -0.99980374 -0.16320286 -0.91031729 -0.99571002
"16" 1 5 -0.98446381 -0.99998138 -0.62797094 -0.94907865 -0.99753534
"17" 1 5 -0.98904307 -0.99998225 -0.64563295 -0.97429588 -0.99955714
"18" 1 5 -0.99507155 -0.99998663 -0.64211168 -0.98219024 -0.99975686
"19" 1 5 -0.99872681 -0.99998657 -0.70181918 -0.99428753 -0.99996811
"20" 1 5 -0.99797237 -0.9999879 -0.80591961 -0.995936 -0.99996543
"21" 1 5 -0.99844133 -0.99998932 -0.74225103 -0.99695895 -0.99998988
"22" 1 5 -0.997891 -0.99998837 -0.74225103 -0.99640039 -0.99998687
"23" 1 5 -0.99589346 -0.99998832 -0.79605084 -0.99467877 -0.9999637
"24" 1 5 -0.99521534 -0.99999178 -0.72891185 -0.9942121 -0.99997389
"25" 1 5 -0.99419344 -0.99998971 -0.64067755 -0.99341683 -0.99995576
"26" 1 5 -0.9957494 -0.9999899 -0.66777064 -0.99325176 -0.99996553
"27" 1 5 -0.9985525 -0.9999964 -0.8268731 -0.99534292 -0.99998046
"28" 1 4 -0.5543692 -0.99147358 -0.48472227 -0.89992251 -0.99621298
"29" 1 4 -0.93459377 -0.99976274 -0.23878855 -0.97820971 -0.99937766
"30" 1 4 -0.97699498 -0.99994266 -0.49617852 -0.96993296 -0.99929554
"31" 1 4 -0.81575864 -0.98152605 -0.45326871 -0.65352471 -0.90560046
"32" 1 4 -0.50739668 -0.94944907 -0.51460726 -0.68464064 -0.87794969
"33" 1 4 -0.62102725 -0.9669935 -0.36605522 -0.78006986 -0.95987052
"34" 1 4 -0.91595384 -0.99873538 0.073575726 -0.98158671 -0.99965247
"35" 1 4 -0.97480504 -0.99961334 -0.21325461 -0.98090949 -0.99963361
"36" 1 4 -0.99523836 -0.99994625 -0.6888614 -0.98624004 -0.9998516
"37" 1 4 -0.99906744 -0.99997514 -0.62789491 -0.99091693 -0.99991809
"38" 1 4 -0.9980118 -0.9999714 -0.6904156 -0.99484406 -0.99997419
"39" 1 4 -0.92623334 -0.99938522 -0.79122833 -0.84816728 -0.98669009
"40" 1 4 -0.96816289 -0.99991443 -0.62744626 -0.83844239 -0.98596644
"41" 1 4 -0.99295106 -0.99996763 -0.55501715 -0.91150016 -0.99467216
"42" 1 4 -0.9934379 -0.99996049 -0.58487827 -0.98001141 -0.99958927
"43" 1 4 -0.99091407 -0.99996753 -0.72562105 -0.98359383 -0.99974922
"44" 1 4 -0.98754731 -0.99996623 -0.59193466 -0.99097407 -0.99985621
"45" 1 4 -0.99012264 -0.99996388 -0.57077255 -0.98653404 -0.99981128
"46" 1 4 -0.99302412 -0.99997055 -0.70279324 -0.99140479 -0.9998864
"47" 1 4 -0.99414636 -0.99998027 -0.66777064 -0.99111527 -0.99988147
"48" 1 4 -0.99354892 -0.99997876 -0.67587898 -0.99190446 -0.99993372
"49" 1 4 -0.99264098 -0.99997167 -0.73378659 -0.98942503 -0.99989075
"50" 1 4 -0.99205145 -0.99997343 -0.6153181 -0.9901195 -0.99988853
"51" 1 4 -0.99147471 -0.99997256 -0.60780508 -0.99026592 -0.99988435
"52" 1 6 -0.90512291 -0.99283717 0.58372185 -0.83554013 -0.98153582
"53" 1 6 -0.98744609 -0.99982145 -0.44546439 -0.8983206 -0.99373609
"54" 1 6 -0.99798763 -0.99995847 -0.61639425 -0.95036266 -0.99836405
"55" 1 6 -0.99950449 -0.99997561 -0.60451257 -0.99015354 -0.99989054
"56" 1 6 -0.99905773 -0.99998122 -0.71489166 -0.99403343 -0.99995749
"57" 1 6 -0.99742945 -0.99996576 -0.61639425 -0.99242118 -0.99995969
"58" 1 6 -0.99741966 -0.99996095 -0.61117435 -0.99040119 -0.99984219
"59" 1 6 -0.99728212 -0.99997774 -0.62289996 -0.99505323 -0.99996313
"60" 1 6 -0.9957705 -0.999974 -0.56784694 -0.99484631 -0.99995264
"61" 1 6 -0.9958683 -0.99996436 -0.62435726 -0.994006 -0.99995862
"62" 1 6 -0.99758819 -0.99997054 -0.64998448 -0.99551228 -0.9999661
"63" 1 6 -0.99786725 -0.99997646 -0.62797094 -0.99508298 -0.99995894
"64" 1 6 -0.9973188 -0.99996802 -0.57725785 -0.99472143 -0.99994803
"65" 1 6 -0.72162699 -0.92811517 0.030495821 -0.87882562 -0.99130319
"66" 1 6 -0.94290262 -0.99818023 0.24129231 -0.87408467 -0.98981574
"67" 1 6 -0.51842779 -0.8919004 -0.56478929 -0.62389734 -0.90393139
"68" 1 6 -0.36210824 -0.8793803 -0.29505171 -0.63205493 -0.91691883
